NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4E2	123	0.5074779391288757	-0.018189417	No	
row_1	IGF1	157	0.44589710235595703	0.028810222	No	
row_2	PYGL	236	0.33115923404693604	0.018840509	No	
row_3	RPS6	282	0.282745897769928	0.028446514	No	
row_4	HRAS	369	0.1837104707956314	-0.012931101	No	
row_5	NRAS	394	0.16007880866527557	-0.006253405	No	
row_6	MAPK3	459	0.10212788730859756	-0.042839076	No	
row_7	SLC2A4	570	0.026828281581401825	-0.13062744	No	
row_8	PPP1CC	578	0.01838996633887291	-0.13341974	No	
row_9	MAPK1	584	0.014744019135832787	-0.13514487	No	
row_10	MAP2K1	604	-8.995577809400856E-4	-0.1509338	No	
row_11	BAD	606	-0.0017687908839434385	-0.15147646	No	
row_12	PPP1CA	704	-0.07097306102514267	-0.22096488	No	
row_13	AKT2	705	-0.07344213128089905	-0.20866391	No	
row_14	IGF2R	818	-0.18581894040107727	-0.27150047	No	
row_15	PPP1CB	838	-0.2135135978460312	-0.25167823	No	
row_16	SREBF1	967	-0.368419349193573	-0.29735348	Yes	
row_17	PKLR	1054	-0.5547462105751038	-0.27658558	Yes	
row_18	SOCS3	1072	-0.6258583068847656	-0.18602104	Yes	
row_19	PRKACA	1107	-0.7564140558242798	-0.08785121	Yes	
row_20	MAP2K2	1149	-1.04542076587677	0.05285246	Yes	
